Transaction_ID,CDR_ID,Relationship_Type,Time_Difference_Seconds,Is_Correlated
TXN2501013A3ZMF,,NO_MATCH,,0
TXN250101PJA1WJ,,NO_MATCH,,0
ATM250101TZK3NY,,NO_MATCH,,0
TXN250101XB9YO1,,NO_MATCH,,0
UPI250101RUJOQW,,NO_MATCH,,0
ATM250101OZJCNS,,NO_MATCH,,0
TXN250101KL8CGN,,NO_MATCH,,0
ATM250101IJC1YD,,NO_MATCH,,0
UPI250101D3GO8J,,NO_MATCH,,0
UPI250101TAJW25,,NO_MATCH,,0
TXN250101HUB2RT,,NO_MATCH,,0
UPI250101K2LSLA,,NO_MATCH,,0
UPI250102G585I8,,NO_MATCH,,0
IMPS2501022LG1ZH,,NO_MATCH,,0
ATM250102Z43XZ6,,NO_MATCH,,0
UPI250102B7V80L,,NO_MATCH,,0
UPI250102JPT2ZL,,NO_MATCH,,0
ATM250102R0XAFG,,NO_MATCH,,0
UPI250102D0771H,,NO_MATCH,,0
ATM250102W165AE,,NO_MATCH,,0
TXN250102KMU6U4,,NO_MATCH,,0
UPI2501035EP4CW,,NO_MATCH,,0
UPI250103TNYFM7,,NO_MATCH,,0
ATM250103JMK3TG,,NO_MATCH,,0
ATM250103I2NR1P,,NO_MATCH,,0
ATM250103GB205H,,NO_MATCH,,0
UPI25010327PSQZ,,NO_MATCH,,0
TXN250103DF4HRA,,NO_MATCH,,0
ATM2501036DF08U,,NO_MATCH,,0
UPI250103VMSR75,,NO_MATCH,,0
UPI250103E0JXYO,,NO_MATCH,,0
ATM250103XHBQAM,,NO_MATCH,,0
ATM250103NFMOCT,,NO_MATCH,,0
IMPS250103486D43,,NO_MATCH,,0
UPI250104IO2F2N,,NO_MATCH,,0
UPI250104BV0DEO,,NO_MATCH,,0
ATM2501040O7Y4X,,NO_MATCH,,0
ATM250104NC19AR,,NO_MATCH,,0
UPI250104NQ06UJ,,NO_MATCH,,0
TXN2501046I62R2,,NO_MATCH,,0
UPI250104RTP08I,,NO_MATCH,,0
TXN2501049DSSRK,,NO_MATCH,,0
ATM2501045TK9VJ,,NO_MATCH,,0
UPI250105FXH8P0,,NO_MATCH,,0
UPI2501050SZKBN,,NO_MATCH,,0
ATM250105112CD4,,NO_MATCH,,0
ATM250105LKW5E1,,NO_MATCH,,0
UPI250105ZUNQ2W,,NO_MATCH,,0
IMPS250106B8X6JM,,NO_MATCH,,0
ATM2501069PQRMO,,NO_MATCH,,0
UPI250106NYMSOR,,NO_MATCH,,0
ATM250106AH35QR,,NO_MATCH,,0
ATM250106MEMTO2,,NO_MATCH,,0
UPI250106FTIXDW,,NO_MATCH,,0
TXN250106AO765Z,,NO_MATCH,,0
UPI25010600H4FL,,NO_MATCH,,0
UPI250107X2N2SU,,NO_MATCH,,0
UPI250107WNT0Z8,,NO_MATCH,,0
IMPS250107DO8YU9,,NO_MATCH,,0
ATM250107XFE3JW,,NO_MATCH,,0
UPI2501078HCQUT,,NO_MATCH,,0
ATM250107O9NLUP,,NO_MATCH,,0
ATM2501070NT95O,,NO_MATCH,,0
TXN250107Q3T08A,,NO_MATCH,,0
ATM250107IC0OQF,,NO_MATCH,,0
TXN250107L30PYN,,NO_MATCH,,0
TXN250107IGKPLR,,NO_MATCH,,0
ATM250107GSHXM4,,NO_MATCH,,0
ATM250108VUNSVQ,,NO_MATCH,,0
ATM250108OTWSJ5,,NO_MATCH,,0
ATM250108PRYVF3,,NO_MATCH,,0
UPI250108XJ2EZN,,NO_MATCH,,0
TXN2501091MPYYN,,NO_MATCH,,0
ATM250109SM4FSH,,NO_MATCH,,0
ATM250109MUB6QF,,NO_MATCH,,0
TXN250109VC1U5W,,NO_MATCH,,0
UPI2501091PLAYY,,NO_MATCH,,0
TXN2501095IPRUI,,NO_MATCH,,0
UPI2501090EN9UU,,NO_MATCH,,0
ATM25011042Q5IM,,NO_MATCH,,0
TXN250110K9L1WD,,NO_MATCH,,0
ATM250110H640IW,,NO_MATCH,,0
TXN250110P1DHDG,,NO_MATCH,,0
ATM25011010LGS4,,NO_MATCH,,0
IMPS250110CP1YB3,,NO_MATCH,,0
TXN250110BVJIH4,,NO_MATCH,,0
ATM250110E1SFXU,,NO_MATCH,,0
ATM25011078LZX4,,NO_MATCH,,0
ATM250110QP6I0T,,NO_MATCH,,0
ATM2501106KD7GI,,NO_MATCH,,0
ATM250111D2XD3T,,NO_MATCH,,0
ATM250111B9VDX0,,NO_MATCH,,0
ATM250111DZ63MJ,,NO_MATCH,,0
UPI250111DE5E8N,,NO_MATCH,,0
ATM250111BYVSCA,,NO_MATCH,,0
UPI250111FVSXCV,,NO_MATCH,,0
TXN2501113FRLIM,,NO_MATCH,,0
UPI2501119X9CQJ,,NO_MATCH,,0
IMPS250111GO93KH,,NO_MATCH,,0
ATM250111K7DCU8,,NO_MATCH,,0
IMPS250111GD4PUH,,NO_MATCH,,0
UPI250112ONY8MZ,,NO_MATCH,,0
UPI250112KZW4QV,,NO_MATCH,,0
ATM250112IFR8H6,,NO_MATCH,,0
ATM250112TEKATK,,NO_MATCH,,0
