CDR_ID,IPDR_ID,Relationship_Type,Time_Difference_Seconds,Is_Correlated
CDR202600000020,,NO_MATCH,,0
CDR202600000083,,NO_MATCH,,0
CDR202600000116,,NO_MATCH,,0
CDR202600000122,,NO_MATCH,,0
CDR202600000155,,NO_MATCH,,0
CDR202600000239,,NO_MATCH,,0
CDR202600000295,,NO_MATCH,,0
CDR202600000334,,NO_MATCH,,0
CDR202600000347,,NO_MATCH,,0
CDR202600000357,,NO_MATCH,,0
CDR202600000473,,NO_MATCH,,0
CDR202600000506,,NO_MATCH,,0
CDR202600000509,,NO_MATCH,,0
CDR202600000512,,NO_MATCH,,0
CDR202600000529,,NO_MATCH,,0
CDR202600000556,,NO_MATCH,,0
CDR202600000569,,NO_MATCH,,0
CDR202600000591,,NO_MATCH,,0
CDR202600000615,,NO_MATCH,,0
CDR202600000650,,NO_MATCH,,0
CDR202600000696,,NO_MATCH,,0
CDR202600000697,,NO_MATCH,,0
CDR202600000703,,NO_MATCH,,0
CDR202600000762,,NO_MATCH,,0
CDR202600000826,,NO_MATCH,,0
CDR202600000864,,NO_MATCH,,0
CDR202600000939,,NO_MATCH,,0
CDR202600001037,,NO_MATCH,,0
CDR202600001077,,NO_MATCH,,0
CDR202600001196,,NO_MATCH,,0
CDR202600001407,,NO_MATCH,,0
CDR202600001410,,NO_MATCH,,0
CDR202600001445,,NO_MATCH,,0
CDR202600001449,,NO_MATCH,,0
CDR202600001484,,NO_MATCH,,0
CDR202600001622,,NO_MATCH,,0
CDR202600001641,,NO_MATCH,,0
CDR202600001671,,NO_MATCH,,0
CDR202600001685,,NO_MATCH,,0
CDR202600001715,,NO_MATCH,,0
CDR202600001797,,NO_MATCH,,0
CDR202600001833,,NO_MATCH,,0
CDR202600001935,,NO_MATCH,,0
CDR202600001992,,NO_MATCH,,0
CDR202600002035,,NO_MATCH,,0
CDR202600002059,,NO_MATCH,,0
CDR202600002126,,NO_MATCH,,0
CDR202600002229,,NO_MATCH,,0
CDR202600002305,,NO_MATCH,,0
CDR202600002401,,NO_MATCH,,0
CDR202600002404,,NO_MATCH,,0
CDR202600002413,,NO_MATCH,,0
CDR202600002414,,NO_MATCH,,0
CDR202600002499,,NO_MATCH,,0
CDR202600002521,,NO_MATCH,,0
