Transaction_ID,CDR_ID,Relationship_Type,Time_Difference_Seconds,Is_Correlated
ATM250101QD6VAS,,NO_MATCH,,0
ATM250101VWVM4W,,NO_MATCH,,0
ATM25010139E3NW,,NO_MATCH,,0
UPI250101EAXYLN,,NO_MATCH,,0
UPI250101NTJLMZ,,NO_MATCH,,0
UPI2501012MOVS0,,NO_MATCH,,0
TXN250102HQR6F7,,NO_MATCH,,0
TXN25010215O2NQ,,NO_MATCH,,0
UPI250102F7ZK94,,NO_MATCH,,0
UPI2501028LYMJ1,,NO_MATCH,,0
UPI250102V5KZ3N,,NO_MATCH,,0
UPI250102ZF761H,,NO_MATCH,,0
UPI250102JGFHZ5,,NO_MATCH,,0
UPI2501020ZIA9A,,NO_MATCH,,0
UPI250102J7WWUD,,NO_MATCH,,0
UPI25010247LZN9,,NO_MATCH,,0
ATM2501039OWWEW,,NO_MATCH,,0
ATM250103HY7AI3,,NO_MATCH,,0
ATM250103GB205H,,NO_MATCH,,0
UPI250103GOUIFE,,NO_MATCH,,0
ATM250103FTJ6AC,,NO_MATCH,,0
UPI250103E0JXYO,,NO_MATCH,,0
TXN250103JRPE2X,,NO_MATCH,,0
UPI250103UAZ71U,,NO_MATCH,,0
UPI250104IO2F2N,,NO_MATCH,,0
UPI250104FHOE3M,,NO_MATCH,,0
UPI250104HHWMF1,,NO_MATCH,,0
ATM250104WIEEO9,,NO_MATCH,,0
ATM250104A4FRV1,,NO_MATCH,,0
UPI250104PUSRZA,,NO_MATCH,,0
UPI250104LZMS80,,NO_MATCH,,0
UPI250105PW3HHI,,NO_MATCH,,0
UPI250105IT38CX,,NO_MATCH,,0
UPI2501058TH105,,NO_MATCH,,0
UPI250105FXH8P0,,NO_MATCH,,0
TXN250105CKOM5F,,NO_MATCH,,0
ATM250105112CD4,,NO_MATCH,,0
ATM250105LKW5E1,,NO_MATCH,,0
ATM2501054VPWYM,,NO_MATCH,,0
UPI250105XJCN0C,,NO_MATCH,,0
TXN250106PI2SO0,,NO_MATCH,,0
ATM250106UDSQNC,,NO_MATCH,,0
ATM2501069PQRMO,,NO_MATCH,,0
ATM250106ZLA6OV,,NO_MATCH,,0
UPI250106FTIXDW,,NO_MATCH,,0
UPI250106BRJS1M,,NO_MATCH,,0
TXN2501063VMK0P,,NO_MATCH,,0
TXN250106AO765Z,,NO_MATCH,,0
UPI25010684JRH8,,NO_MATCH,,0
UPI250106V3UTCP,,NO_MATCH,,0
UPI250107MV7MBC,,NO_MATCH,,0
UPI2501078HCQUT,,NO_MATCH,,0
UPI250107CEPGJS,,NO_MATCH,,0
ATM250108FRUXTN,,NO_MATCH,,0
UPI25010847RHOW,,NO_MATCH,,0
UPI250108OCJZ5Q,,NO_MATCH,,0
IMPS250108N5ZUL2,,NO_MATCH,,0
IMPS250108UJINHD,,NO_MATCH,,0
TXN25010851VUTP,,NO_MATCH,,0
UPI2501081RDOLP,,NO_MATCH,,0
UPI250108TDNUMV,,NO_MATCH,,0
UPI250108RWBJ9C,,NO_MATCH,,0
ATM250108ERV8JH,,NO_MATCH,,0
UPI250108KZK4RQ,,NO_MATCH,,0
ATM25010919UR8N,,NO_MATCH,,0
ATM250109TVOIWA,,NO_MATCH,,0
TXN250109AMXA6S,,NO_MATCH,,0
UPI250109OL3QRD,,NO_MATCH,,0
ATM25010981TNAG,,NO_MATCH,,0
UPI25010990QCBC,,NO_MATCH,,0
UPI250109ZOCJEC,,NO_MATCH,,0
